year,tsi,tsi_unc
1837,1362.1494,0.3250
1838,1361.9468,0.2349
1839,1361.8620,0.2005
1840,1361.6984,0.1419
1841,1361.5009,0.0813
1842,1361.3807,0.0488
1843,1361.2444,0.0222
1844,1361.2462,0.0233
1845,1361.4286,0.0627
1846,1361.6106,0.1158
1847,1361.8102,0.1841
1848,1362.0016,0.2614
1849,1361.9476,0.2417
1850,1361.7836,0.1820
1851,1361.7212,0.1630
1852,1361.6761,0.1508
1853,1361.5374,0.1122
1854,1361.3630,0.0732
1855,1361.1906,0.0543
1856,1361.1550,0.0566
1857,1361.3140,0.0693
1858,1361.6183,0.1405
1859,1361.8894,0.2321
1860,1361.9712,0.2633
1861,1361.8658,0.2192
1862,1361.7765,0.1845
1863,1361.6113,0.1287
1864,1361.5540,0.1101
1865,1361.4368,0.0770
1866,1361.3068,0.0468
1867,1361.2006,0.0337
1868,1361.4071,0.0679
1869,1361.6912,0.1510
1870,1362.0480,0.2902
1871,1362.0317,0.2860
1872,1361.9713,0.2632
1873,1361.8027,0.2003
1874,1361.5750,0.1295
1875,1361.3528,0.0962
1876,1361.2983,0.0936
1877,1361.3105,0.0960
1878,1361.1798,0.0929
1879,1361.2246,0.0940
1880,1361.4937,0.1131
1881,1361.7493,0.1332
1882,1361.7172,0.1434
1883,1361.6727,0.1542
1884,1361.7358,0.1483
1885,1361.6375,0.1319
1886,1361.3789,0.1008
1887,1361.2672,0.0878
1888,1361.2064,0.0821
1889,1361.2009,0.0804
1890,1361.2089,0.0805
1891,1361.5068,0.1091
1892,1361.8229,0.1565
1893,1361.9004,0.1774
1894,1361.8906,0.1668
1895,1361.7562,0.1453
1896,1361.5945,0.1190
1897,1361.3390,0.1084
1898,1361.3961,0.1078
1899,1361.2694,0.0963
1900,1361.2485,0.0965
1901,1361.1498,0.0946
1902,1361.1782,0.0968
1903,1361.3846,0.1100
1904,1361.6416,0.1247
1905,1361.6234,0.1605
1906,1361.7118,0.1413
1907,1361.6744,0.1543
1908,1361.6483,0.1354
1909,1361.5477,0.1307
1910,1361.3435,0.1075
1911,1361.1946,0.0982
1912,1361.1765,0.0973
1913,1361.1562,0.0964
1914,1361.2395,0.0998
1915,1361.6466,0.1315
1916,1361.7913,0.1379
1917,1362.1729,0.1986
1918,1362.0410,0.1658
1919,1361.7354,0.1498
1920,1361.4720,0.1150
1921,1361.3773,0.1010
1922,1361.2399,0.0888
1923,1361.2076,0.0798
1924,1361.2931,0.0883
1925,1361.5048,0.1218
1926,1361.6923,0.1507
1927,1361.8634,0.1481
1928,1361.8317,0.1676
1929,1361.6455,0.1512
1930,1361.5674,0.1072
1931,1361.4019,0.0899
1932,1361.2981,0.0815
1933,1361.2361,0.0771
1934,1361.2887,0.0780
1935,1361.5372,0.1060
1936,1362.0519,0.1563
1937,1362.2073,0.2226
1938,1362.1183,0.2148
1939,1361.9939,0.1824
1940,1361.8455,0.1426
1941,1361.7234,0.1149
1942,1361.5128,0.0934
1943,1361.3309,0.0788
1944,1361.3180,0.0711
1945,1361.6187,0.0959
1946,1361.9385,0.1892
1947,1362.1898,0.2583
1948,1362.3062,0.2167
1949,1362.1644,0.2231
1950,1361.8707,0.1524
1951,1361.6533,0.1411
1952,1361.4714,0.0916
1953,1361.3473,0.0773
1954,1361.2745,0.0729
1955,1361.4337,0.0945
1956,1361.9768,0.2087
1957,1362.4329,0.2650
1958,1362.4039,0.2678
1959,1362.0961,0.2515
1960,1361.9429,0.1684
1961,1361.5570,0.1007
1962,1361.3755,0.0873
1963,1361.3164,0.0783
1964,1361.2968,0.0698
1965,1361.3314,0.0725
1966,1361.5267,0.0966
1967,1361.7355,0.1510
1968,1361.7905,0.1583
1969,1361.8584,0.1558
1970,1361.8505,0.1643
1971,1361.5586,0.1200
1972,1361.6414,0.1184
1973,1361.4154,0.0894
1974,1361.3394,0.0841
1975,1361.2781,0.0746
1976,1361.2561,0.0669
1977,1361.4288,0.0812
1978,1361.8116,0.1350
1979,1362.1752,0.1902
1980,1362.2012,0.1913
1981,1362.2485,0.1973
