year_frac,aod_global,aod_nh,aod_sh
2015.125000,0.154751,0.180696,0.134792
2015.208333,0.168738,0.229210,0.119746
2015.291667,0.169126,0.242001,0.104601
2015.375000,0.165572,0.223624,0.106579
2015.458333,0.175518,0.233580,0.111170
2015.541667,0.185952,0.242741,0.123522
2015.625000,0.187288,0.216581,0.156402
2015.708333,0.174018,0.175035,0.172961
2015.791667,0.174261,0.167895,0.180278
2015.875000,0.153336,0.147098,0.158534
2015.958333,0.162439,0.170977,0.156006
2016.041667,0.159605,0.170323,0.151699
2016.125000,0.180423,0.217836,0.151574
2016.208333,0.166918,0.218581,0.124988
2016.291667,0.161799,0.220534,0.109581
2016.375000,0.158799,0.219210,0.096660
2016.458333,0.160798,0.215105,0.100001
2016.541667,0.173310,0.232833,0.107756
2016.625000,0.163821,0.192992,0.132731
2016.708333,0.154833,0.163060,0.146316
2016.791667,0.144777,0.152175,0.137894
2016.875000,0.144060,0.152491,0.137098
2016.958333,0.147376,0.162536,0.136080
2017.041667,0.146364,0.159900,0.136371
2017.125000,0.156062,0.188248,0.131389
2017.208333,0.157424,0.204908,0.119331
2017.291667,0.161203,0.225429,0.105002
2017.375000,0.153586,0.209282,0.097131
2017.458333,0.154640,0.204390,0.099085
2017.541667,0.168834,0.225668,0.106316
2017.625000,0.173553,0.219841,0.124648
2017.708333,0.176401,0.183141,0.169494
2017.791667,0.156304,0.168151,0.145240
2017.875000,0.144662,0.154495,0.136523
2017.958333,0.151320,0.167245,0.139366
2018.041667,0.159676,0.181997,0.143164
2018.125000,0.158911,0.192185,0.133708
2018.208333,0.164015,0.218830,0.120531
2018.291667,0.169967,0.240506,0.108252
2018.375000,0.157275,0.217745,0.096586
2018.458333,0.167909,0.233285,0.095398
2018.541667,0.191450,0.267028,0.107699
2018.625000,0.185694,0.238178,0.130657
2018.708333,0.158275,0.163056,0.153323
2018.791667,0.146305,0.144755,0.147763
2018.875000,0.142961,0.143084,0.142860
2018.958333,0.147199,0.156645,0.140205
2019.041667,0.153387,0.163681,0.145773
2019.125000,0.161025,0.193310,0.136361
2019.208333,0.166431,0.215822,0.126747
2019.291667,0.156998,0.212751,0.107923
2019.375000,0.151077,0.204621,0.096323
2019.458333,0.159440,0.209842,0.102569
2019.541667,0.192842,0.264836,0.112917
2019.625000,0.199063,0.248269,0.146867
2019.708333,0.181450,0.194225,0.168066
2019.791667,0.154861,0.161678,0.148398
2019.875000,0.156379,0.157579,0.155369
2019.958333,0.154516,0.157601,0.152196
2020.041667,0.190315,0.181941,0.196537
2020.125000,0.190414,0.214101,0.172203
2020.208333,0.176368,0.219369,0.141369
2020.291667,0.169001,0.223582,0.120443
2020.375000,0.156677,0.200855,0.111014
2020.458333,0.170043,0.224727,0.108772
2020.541667,0.176852,0.228358,0.119568
2020.625000,0.170737,0.204131,0.137216
2020.708333,0.182899,0.194468,0.170834
2020.791667,0.157978,0.155857,0.160002
2020.875000,0.142487,0.147840,0.137959
2020.958333,0.141523,0.144828,0.139051
2021.041667,0.152279,0.170476,0.138670
2021.125000,0.164792,0.197745,0.139341
2021.208333,0.174011,0.239726,0.121052
2021.291667,0.165846,0.230799,0.108528
2021.375000,0.153499,0.205101,0.101372
2021.458333,0.163155,0.218710,0.101554
2021.541667,0.197976,0.275666,0.112162
2021.625000,0.205938,0.270843,0.137030
2021.708333,0.166390,0.172241,0.160367
2021.791667,0.149935,0.155768,0.144426
2021.875000,0.136632,0.142472,0.131787
2021.958333,0.146733,0.159785,0.136953
2022.041667,0.157105,0.161161,0.154117
2022.125000,0.179388,0.196874,0.166159
2022.208333,0.189409,0.240592,0.148693
2022.291667,0.182189,0.244733,0.128299
2022.375000,0.176877,0.235689,0.117883
2022.458333,0.173666,0.222407,0.119714
2022.541667,0.183032,0.228353,0.133068
2022.625000,0.177131,0.193448,0.160013
2022.708333,0.174879,0.165919,0.183960
2022.791667,0.167934,0.156428,0.178640
2022.875000,0.152928,0.151773,0.153879
