year_frac,tsi,tsi_unc
1887.9583,1361.0874,0.0965
1888.0417,1361.3170,0.0869
1888.1250,1361.2605,0.0844
1888.2083,1361.2194,0.0830
1888.2917,1361.2125,0.0810
1888.3750,1361.1401,0.0827
1888.4583,1361.2230,0.0815
1888.5417,1361.2023,0.0803
1888.6250,1361.1686,0.0797
1888.7083,1361.1913,0.0818
1888.7917,1361.1936,0.0795
1888.8750,1361.1292,0.0838
1888.9583,1361.2207,0.0818
1889.0417,1361.1993,0.0793
1889.1250,1361.2028,0.0801
1889.2083,1361.2251,0.0803
1889.2917,1361.2126,0.0799
1889.3750,1361.2125,0.0794
1889.4583,1361.1095,0.0816
1889.5417,1361.1788,0.0817
1889.6250,1361.2640,0.0880
1889.7083,1361.2845,0.0829
1889.7917,1361.2211,0.0793
1889.8750,1361.1373,0.0764
1889.9583,1361.1620,0.0780
1890.0417,1361.1987,0.0785
1890.1250,1361.1836,0.0774
1890.2083,1361.1718,0.0781
1890.2917,1361.1658,0.0769
1890.3750,1361.1897,0.0777
1890.4583,1361.1875,0.0774
1890.5417,1361.2192,0.0810
1890.6250,1361.2017,0.0830
1890.7083,1361.2677,0.0860
1890.7917,1361.2349,0.0851
1890.8750,1361.2183,0.0842
1890.9583,1361.2655,0.0820
1891.0417,1361.2365,0.0847
1891.1250,1361.3297,0.0908
1891.2083,1361.3776,0.0875
1891.2917,1361.3596,0.0947
1891.3750,1361.4610,0.1077
1891.4583,1361.6102,0.1163
1891.5417,1361.6624,0.1340
1891.6250,1361.7080,0.1124
1891.7083,1361.3885,0.1398
1891.7917,1361.7050,0.1216
1891.8750,1361.6427,0.1194
1891.9583,1361.5829,0.1111
1892.0417,1361.5837,0.1420
1892.1250,1361.4420,0.1829
1892.2083,1361.8789,0.1324
1892.2917,1361.8516,0.1456
1892.3750,1361.7029,0.1733
1892.4583,1362.0127,0.1566
1892.5417,1361.5663,0.1896
1892.6250,1362.0283,0.1795
1892.7083,1362.0050,0.1495
1892.7917,1361.9495,0.1488
1892.8750,1361.8500,0.1450
1892.9583,1361.9933,0.1486
1893.0417,1361.8360,0.1606
1893.1250,1361.8505,0.1596
1893.2083,1361.9290,0.1476
1893.2917,1361.9735,0.1652
1893.3750,1362.1267,0.1665
1893.4583,1362.0596,0.1789
1893.5417,1361.9438,0.1844
1893.6250,1361.8955,0.2340
1893.7083,1361.9067,0.1944
1893.7917,1361.9210,0.1765
1893.8750,1361.7747,0.1700
1893.9583,1361.5864,0.1997
1894.0417,1361.8641,0.1823
1894.1250,1361.9363,0.1774
1894.2083,1362.0400,0.1402
1894.2917,1361.6804,0.1803
1894.3750,1361.8508,0.1943
1894.4583,1361.8930,0.2019
1894.5417,1362.0898,0.1998
1894.6250,1361.9692,0.1670
1894.7083,1362.0266,0.1411
1894.7917,1361.6954,0.1595
1894.8750,1361.9358,0.1332
1894.9583,1361.7100,0.1427
1895.0417,1361.7380,0.1427
1895.1250,1361.8224,0.1436
1895.2083,1361.7683,0.1484
1895.2917,1361.8630,0.1518
1895.3750,1361.9114,0.1457
1895.4583,1361.7771,0.1546
1895.5417,1361.9581,0.1281
1895.6250,1361.5223,0.1634
1895.7083,1361.7283,0.1387
1895.7917,1361.5889,0.1580
1895.8750,1361.7227,0.1308
1895.9583,1361.6835,0.1458
1896.0417,1361.7654,0.1140
1896.1250,1361.5573,0.1317
1896.2083,1361.7456,0.1241
1896.2917,1361.7452,0.1201
1896.3750,1361.6233,0.1081
1896.4583,1361.4114,0.1266
1896.5417,1361.6250,0.1176
1896.6250,1361.5997,0.1089
1896.7083,1361.3735,0.1460
1896.7917,1361.6366,0.1114
1896.8750,1361.5253,0.1174
1896.9583,1361.5133,0.1184
1897.0417,1361.1328,0.1480
1897.1250,1361.2203,0.1253
1897.2083,1361.3969,0.1095
1897.2917,1361.4373,0.1062
1897.3750,1361.3033,0.1050
1897.4583,1361.3258,0.0969
1897.5417,1361.4067,0.1000
1897.6250,1361.2860,0.1037
1897.7083,1361.4142,0.1215
1897.7917,1361.5476,0.1021
1897.8750,1361.3829,0.0960
1897.9583,1361.2092,0.1143
1898.0417,1361.4082,0.1074
1898.1250,1361.4138,0.1158
1898.2083,1361.4248,0.1200
1898.2917,1361.4664,0.1021
1898.3750,1361.4277,0.1029
1898.4583,1361.4658,0.1000
1898.5417,1361.3812,0.0972
1898.6250,1361.3220,0.1101
1898.7083,1361.2020,0.1234
1898.7917,1361.3842,0.1181
1898.8750,1361.5017,0.1101
1898.9583,1361.3595,0.1003
1899.0417,1361.3097,0.0997
1899.1250,1361.2819,0.0948
1899.2083,1361.2386,0.0992
1899.2917,1361.2977,0.0974
1899.3750,1361.2770,0.0947
1899.4583,1361.2616,0.0990
1899.5417,1361.2821,0.0982
1899.6250,1361.2660,0.0940
1899.7083,1361.2203,0.0937
1899.7917,1361.2377,0.0956
1899.8750,1361.2827,0.0954
1899.9583,1361.2789,0.0959
1900.0417,1361.2603,0.0957
1900.1250,1361.2823,0.0978
1900.2083,1361.2397,0.0969
1900.2917,1361.3055,0.0985
1900.3750,1361.2998,0.0997
1900.4583,1361.2821,0.0982
1900.5417,1361.2689,0.0964
1900.6250,1361.2160,0.0946
1900.7083,1361.2244,0.0951
1900.7917,1361.2158,0.0971
1900.8750,1361.2234,0.0951
1900.9583,1361.1696,0.0936
1901.0417,1361.1259,0.0927
1901.1250,1361.1332,0.0930
1901.2083,1361.1776,0.0945
1901.2917,1361.1517,0.0937
1901.3750,1361.0997,0.0977
1901.4583,1361.2000,0.0961
1901.5417,1361.1776,0.0948
1901.6250,1361.1493,0.0943
1901.7083,1361.1207,0.0937
1901.7917,1361.1470,0.0947
1901.8750,1361.1567,0.0955
1901.9583,1361.1577,0.0950
1902.0417,1361.1195,0.0965
1902.1250,1361.1487,0.0948
1902.2083,1361.1624,0.0993
1902.2917,1361.1814,0.0957
1902.3750,1361.1421,0.0952
1902.4583,1361.1425,0.0947
1902.5417,1361.1528,0.0949
1902.6250,1361.1647,0.0953
1902.7083,1361.1800,0.0968
1902.7917,1361.2413,0.1006
1902.8750,1361.2688,0.1009
1902.9583,1361.2339,0.0972
1903.0417,1361.2422,0.0980
1903.1250,1361.2970,0.1011
1903.2083,1361.2887,0.1020
1903.2917,1361.3611,0.1090
1903.3750,1361.4443,0.1049
1903.4583,1361.3595,0.1036
1903.5417,1361.3890,0.1083
1903.6250,1361.5691,0.1106
1903.7083,1361.4764,0.1062
1903.7917,1361.1287,0.1360
1903.8750,1361.3916,0.1336
1903.9583,1361.6619,0.1265
1904.0417,1361.5990,0.1188
1904.1250,1361.4359,0.1139
1904.2083,1361.5160,0.1159
1904.2917,1361.3512,0.1355
1904.3750,1361.7600,0.1204
1904.4583,1361.7098,0.1228
1904.5417,1361.6865,0.1279
1904.6250,1361.7767,0.1333
1904.7083,1361.7931,0.1210
1904.7917,1361.6464,0.1320
1904.8750,1361.7468,0.1245
1904.9583,1361.6658,0.1382
1905.0417,1361.5536,0.1478
1905.1250,1361.3143,0.2077
1905.2083,1361.5486,0.1694
1905.2917,1361.8126,0.1299
1905.3750,1361.5789,0.1339
1905.4583,1361.5924,0.1339
1905.5417,1361.4949,0.1739
1905.6250,1361.7316,0.1565
1905.7083,1361.9170,0.1444
1905.7917,1361.2231,0.2116
1905.8750,1361.6859,0.2057
1905.9583,1362.0145,0.1494
1906.0417,1361.7266,0.1412
1906.1250,1361.5997,0.1223
1906.2083,1361.4901,0.1486
1906.2917,1361.8264,0.1408
1906.3750,1361.6749,0.1526
1906.4583,1361.8798,0.1445
1906.5417,1361.8373,0.1871
1906.6250,1361.8768,0.1421
1906.7083,1361.8752,0.1365
1906.7917,1361.7004,0.1159
1906.8750,1361.5044,0.1267
1906.9583,1361.5471,0.1514
1907.0417,1361.7606,0.1641
1907.1250,1361.5074,0.2367
1907.2083,1362.0707,0.1547
1907.2917,1361.8335,0.1408
1907.3750,1361.6190,0.1306
1907.4583,1361.3536,0.1389
1907.5417,1361.5167,0.1395
1907.6250,1361.7252,0.1387
1907.7083,1361.7048,0.1725
1907.7917,1361.7790,0.1617
1907.8750,1361.7050,0.1543
1907.9583,1361.4984,0.1455
1908.0417,1361.6599,0.1250
1908.1250,1361.6555,0.1178
1908.2083,1361.5768,0.1146
1908.2917,1361.5885,0.1323
1908.3750,1361.7762,0.1287
1908.4583,1361.6876,0.1378
1908.5417,1361.7776,0.1260
1908.6250,1361.4039,0.1904
1908.7083,1361.6770,0.1927
1908.7917,1361.9318,0.1309
1908.8750,1361.5244,0.1364
1908.9583,1361.5167,0.1257
1909.0417,1361.3534,0.1532
1909.1250,1361.6383,0.1363
1909.2083,1361.6417,0.1507
1909.2917,1361.6354,0.1262
1909.3750,1361.5084,0.1217
1909.4583,1361.4579,0.1114
1909.5417,1361.3889,0.1220
1909.6250,1361.5784,0.1120
1909.7083,1361.4507,0.1255
1909.7917,1361.5825,0.1400
1909.8750,1361.6660,0.1411
1909.9583,1361.6809,0.1418
1910.0417,1361.5393,0.1183
1910.1250,1361.2991,0.1221
1910.2083,1361.3916,0.1085
1910.2917,1361.3380,0.1020
1910.3750,1361.2604,0.1068
1910.4583,1361.3408,0.1022
1910.5417,1361.3241,0.1045
1910.6250,1361.2840,0.1033
1910.7083,1361.2883,0.1088
1910.7917,1361.3827,0.1190
1910.8750,1361.3999,0.1033
1910.9583,1361.2699,0.0998
1911.0417,1361.1753,0.0973
1911.1250,1361.1967,0.0985
1911.2083,1361.2284,0.0994
1911.2917,1361.2350,0.1034
1911.3750,1361.2750,0.1008
1911.4583,1361.2115,0.0979
1911.5417,1361.1770,0.0969
1911.6250,1361.1656,0.0968
1911.7083,1361.1685,0.0974
1911.7917,1361.1792,0.0970
1911.8750,1361.1534,0.0970
1911.9583,1361.1687,0.0966
